94,工厂,gōngchǎng,Nhà máy,,,我先去工厂。,wǒ xiān qù gōngchǎng.,Tôi đi xuống xưởng trước.
95,车间,chējiān,Nhà xưởng,,,车间里很热。,chējiān lǐ hěn rè.,Trong xưởng rất nóng.
96,仓库,cāngkù,Nhà kho,,,他去仓库拿物料。,tā qù cāngkù ná wùliào.,Anh ấy đi nhà kho lấy vật liệu.
97,办公室,bàngōngshì,Văn phòng,,,我去办公室开会。,wǒ qù bàngōngshì kāihuì.,Tôi đi đến văn phòng để họp.
98,公司,gōngsī,Công ty,,,我来到公司了。,wǒ lái dào gōngsī le.,Tôi đến công ty rồi.
99,房间,fángjiān,Phòng,,,经理在房间里正在开会。,jīnglǐ zài fángjiān lǐ zhèngzài kāihuì.,Giám đốc đang họp trong phòng.
100,谢谢,xièxie,Cảm ơn,,,谢谢你的帮助。,xièxiè nǐ de bāngzhù.,Cảm ơn sự giúp đỡ của bạn.
101,不客气,bù kèqi,Đừng khách sáo,,,谢谢你！- 不客气。,xièxie nǐ! - bù kèqi.,Cám ơn bạn! - Đừng khách sáo.
102,对不起,duìbuqǐ,Xin lỗi,,,对不起，我错了。,"duìbuqǐ, wǒ cuò le.","Xin lỗi, tôi sai rồi."
103,不好意思,bùhǎoyìsi,Ngại quá / Xin lỗi,,,不好意思，麻烦你了。,"bù hǎoyìsi, máfan nǐ le.","Ngại quá, làm phiền bạn rồi."
104,原谅,yuánliàng,Tha lỗi / Tha thứ,,,希望你可以原谅。,xīwàng nǐ kěyǐ yuánliàng.,Hi vọng bạn có thể tha lỗi.
105,没关系,méiguānxi,Không sao đâu,,,对不起！- 没关系。,duìbuqǐ! - méiguānxi.,Xin lỗi! - Không sao đâu.
106,没事,méishì,Không sao,,,你没事吗？,nǐ méishì ma?,Bạn không sao chứ?
107,麻烦,máfan,Làm phiền / Phiền phức,,,麻烦你了。,máfan nǐ le.,Làm phiền bạn rồi.
108,打扰,dǎrǎo,Làm phiền,,,打扰你了。,dǎrǎo nǐ le.,Làm phiền bạn rồi.
109,辛苦,xīnkǔ,Vất vả,,,你辛苦了。,nǐ xīnkǔ le.,Bạn vất vả rồi.
110,请问,qǐngwèn,Xin hỏi,,,请问，这个要怎么做？,"qǐngwèn, zhè ge yào zěnme zuò?",Xin hỏi cái này phải làm như thế nào?
111,介绍,jièshào,Giới thiệu,,,我先介绍一下。,wǒ xiān jièshào yíxià.,Tôi xin giới thiệu 1 chút.
112,认识,rènshi,Quen biết / Làm quen,,,很高兴认识你。,hěn gāoxìng rènshi nǐ.,Rất vui được quen biết bạn.
113,帮助,bāngzhù,Giúp đỡ,,,谢谢你给我帮助。,xièxiè nǐ gěi wǒ bāngzhù.,Cảm ơn sự giúp đỡ của bạn dành cho tôi.
114,告诉,gàosu,Nói với / Báo,,,请告诉主管。,qǐng gàosu zhǔguǎn.,Hãy nói với chủ quản.
115,通知,tōngzhī,Thông báo,,,我有一个问题要跟你们通知。,wǒ yǒu yí gè wèntí yào gēn nǐmen tōngzhī.,Tôi có 1 vấn đề cần thông báo với các bạn.
116,怎么,zěnme,Như thế nào / Làm sao,,,这个要怎么做？,zhè ge yào zěnme zuò?,Cái này phải làm như thế nào?
117,为什么,wèishénme,Tại sao,,,为什么机器停了？,wèishénme jīqì tíng le?,Tại sao máy dừng rồi?
118,听懂,tīngdǒng,Nghe hiểu,,,老板说你听懂吗？,lǎobǎn shuō nǐ tīng dǒng ma?,Sếp nói bạn nghe hiểu không?
119,知道,zhīdào,Biết,,,你知道吗？,nǐ zhīdào ma?,Bạn biết không?
120,记得,jìde,Nhớ / Recall,,,你记得吗？,nǐ jìde ma?,Bạn nhớ không?
121,记住,jìzhu,Ghi nhớ,,,记住了吗？,jìzhù le ma?,Nhớ chưa?
122,同意,tóngyì,Đồng ý,,,没有主管的同意，不可以加班。,"méiyǒu zhǔguǎn de tóngyì, bù kěyǐ jiābān.",Không có sự đồng ý của chủ quản thì không được tăng ca.
123,打算,dǎsuàn,Dự định / Kế hoạch,,,我打算去中国旅行。,wǒ dǎsuàn qù zhōngguó lǚxíng.,Tôi dự định đi Trung Quốc du lịch.
124,希望,xīwàng,Hy vọng,,,希望你可以原谅。,xīwàng nǐ kěyǐ yuánliàng.,Hi vọng bạn có thể tha lỗi.
125,安排,ānpái,Sắp xếp,,,管理会安排工作。,guǎnlǐ huì ānpái gōngzuò.,Quản lý biết sắp xếp công việc.
126,负责,fùzé,Phụ trách,,,我主要负责写SOP。,wǒ zhǔyào fùzé xiě SOP.,Tôi chủ yếu phụ trách viết SOP.
127,请假,qǐngjià,Xin nghỉ phép,,,请我请假。,qǐng wǒ qǐngjià.,Cho tôi nghỉ phép.
128,开会,kāihuì,Họp,,,经理正在开会。,jīnglǐ zhèngzài kāihuì.,Giám đốc đang họp.
129,安静,ānjìng,Im lặng,,,请安静一点。,qǐng ānjìng yìdiǎn.,Xin im lặng một chút.
130,注意,zhùyì,Chú ý,,,注意温度不能调整太高。,zhùyì wēndù bù néng tiáozhěng tài gāo.,Chú ý nhiệt độ không được điều chỉnh cao quá.
131,小心,xiǎoxīn,Cẩn thận,,,开机器前，要检查，小心一点。,"kāi jīqì qián, yào jiǎnchá, xiǎoxīn yìdiǎn.","Trước khi mở máy, phải kiểm tra, cẩn thận một chút."
132,专心,zhuānxīn,Chuyên tâm,,,你们要专心工作。,nǐmen yào zhuānxīn gōngzuò.,Các bạn phải chuyên tâm làm việc.
133,随便,suíbiàn,Tùy tiện,,,不要随便拆零件。,bú yào suíbiàn chāi língjiàn.,Đừng tuỳ tiện tháo linh kiện.
134,机器,jīqì,Máy móc,,,这个机器有什么问题？,zhè ge jīqì yǒu shénme wèntí?,Cái máy này có vấn đề gì?
135,机台,jītái,Cỗ máy,,,机台要同步参数。,jītái yào tóngbù cānshù.,Máy móc cần đồng bộ thông số.
136,设备,shèbèi,Thiết bị,,,我想先检查设备。,wǒ xiǎng xiān jiǎnchá shèbèi.,Tôi muốn kiểm tra thiết bị trước.
137,治具,zhìjù,Fixture / Trị cụ,,,治具坏了。,zhìjù huài le.,Trị cụ hỏng rồi.
138,载具,zàijù,Carrier / Tải cụ,,,请拿载具过来。,qǐng ná zǎijù guòlái.,Vui lòng lấy tải cụ qua đây.
139,零件,língjiàn,Linh kiện,,,这个零件中文怎么叫？,zhè ge língjiàn zhōngwén zěnme jiào?,Linh kiện này tiếng Trung gọi là gì?
140,物料,wùliào,Vật liệu,,,他去仓库拿物料。,tā qù cāngkù ná wùliào.,Anh ấy đi nhà kho lấy vật liệu.
141,材料,cáiliào,Tài liệu / Vật liệu,,,这里可以放材料吗？,zhè lǐ kěyǐ fàng cáiliào ma?,Ở đây có thể để vật liệu không?
142,原料,yuánliào,Nguyên liệu,,,生产原料不够了。,shēngchǎn yuánliào bú gòu le.,Nguyên liệu sản xuất không đủ rồi.
143,胶桶,jiāotǒng,Lọ keo / Thùng keo,,,胶桶快要完了。,jiāotǒng kuài yào wán le.,Lọ keo sắp hết keo rồi.
144,螺丝,luósī,Ốc vít,,,请锁紧螺丝。,qǐng suǒ jǐn luósī.,Hãy vặn chặt con ốc.
145,螺母,luómǔ,Đai ốc,,,螺丝和螺母都在工具箱里面。,luósī hé luómǔ dōu zài gōngjùxiāng lǐmiàn.,Ốc vít và đai ốc đều ở trong hộp dụng cụ.
146,胶带,jiāodài,Băng dính,,,贴胶带。,tiē jiāodài.,Dán băng dính.
147,标签,biāoqiān,Tem / Nhãn / Label,,,标签贴上了。,biāoqiān tiē shàng le.,Tem đã được dán lên rồi.
148,电池,diànchí,Pin,,,电池放上了。,diànchí fàng shàng le.,Pin đã được đặt vào rồi.
149,充电器,chōngdiànqì,Bộ sạc / Cục sạc,,,我的充电器在哪儿？,wǒ de chōngdiànqì zài nǎ'er?,Bộ sạc của tôi ở đâu?
150,屏幕,píngmù,Màn hình,,,她测试屏幕测了三分钟。,tā cèshì píngmù cè le sān fēnzhōng.,Cô ấy test màn hình 3 phút.
151,接口,jiēkǒu,Cổng / Giao diện,,,接口插上了。,jiēkǒu chā shàng le.,Cổng đã được cắm vào rồi.
152,插头,chātóu,Ổ cắm / Phích cắm,,,请拔掉插头。,qǐng bá diào chātóu.,Hãy rút phích cắm ra.
153,电线,diànxiàn,Dây điện,,,检查一下电线。,jiǎnchá yíxià diànxiàn.,Kiểm tra dây điện một chút.
154,外壳,wàiké,Vỏ / Vỏ ngoài,,,外壳装上了。,wàiké zhuāng shàng le.,Vỏ ngoài đã được lắp lên rồi.
155,外观,wàiguān,Ngoại quan,,,她看见外观问题了。,tā kàn jiàn wàiguān wèntí le.,Cô ấy thấy lỗi ngoại quan rồi.
156,功能,gōngnéng,Công năng / Chức năng,,,他测试功能测了五分钟。,tā cèshì gōngnéng cè le wǔ fēnzhōng.,Anh ấy test chức năng 5 phút.
157,电脑,diànnǎo,Máy tính,,,谁正在使用电脑？,shuí zhèngzài shǐyòng diànnǎo?,Ai đang dùng máy tính vậy?
158,笔记本,bǐjìběn,Sổ tay / Laptop,,,笔记本电脑在桌子上。,bǐjìběn diànnǎo zài zhuōzi shàng.,Laptop ở trên bàn.
159,软件,ruǎnjiàn,Phần mềm,,,学汉语的软件。,xué hànyǔ de ruǎnjiàn.,App học tiếng Trung.
160,硬件,yìngjiàn,Phần cứng,,,这个设备的硬件有问题。,zhège shèbèi de yìngjiàn yǒu wèntí.,Phần cứng của thiết bị này có vấn đề.
161,网络,wǎngluò,Mạng internet,,,这里的网络很慢。,zhèlǐ de wǎngluò hěn màn.,Mạng ở đây rất chậm.
162,工具,gōngjù,Dụng cụ,,,上面有我的工具。,shàngmiàn yǒu wǒ de gōngjù.,Phía trên có dụng cụ của tôi.
163,工具箱,gōngjùxiāng,Hộp dụng cụ,,,螺丝和螺母都在工具箱里面。,luósī hé luómǔ dōu zài gōngjùxiāng lǐmiàn.,Ốc vít và đai ốc đều ở trong hộp dụng cụ.
164,订单,dìngdān,Đơn hàng,,,我们要完成订单。,wǒmen yào wánchéng dìngdān.,Chúng ta phải hoàn thành đơn hàng.
165,邮件,yóujiàn,Email,,,我昨天给客户发邮件了。,wǒ zuótiān gěi kèhù fā yóujiàn le.,Hôm qua tôi đã gửi email cho khách hàng rồi.
166,报告,bàogào,Báo cáo,,,我发完报告了。,wǒ fā wán bàogào le.,Tôi gửi xong báo cáo rồi.
167,说明书,shuōmíngshū,Sách hướng dẫn,,,我看了一次说明书。,wǒ kàn le yí cì shuōmíngshū.,Tôi xem sách hướng dẫn 1 lần.
168,参数,cānshù,Thông số,,,机台要同步参数。,jītái yào tóngbù cānshù.,Máy móc cần đồng bộ thông số.
169,尺寸,chǐcùn,Kích thước,,,检查产品的尺寸。,jiǎnchá chǎnpǐn de chǐcùn.,Kiểm tra kích thước của sản phẩm.
170,型号,xínghào,Model / Loại,,,型号选错了。,xínghào xuǎn cuò le.,Model chọn sai rồi.
171,标准,biāozhǔn,Tiêu chuẩn,,,做到标准了。,zuò dào biāozhǔn le.,Đã làm đạt tiêu chuẩn rồi.
172,流程,liúchéng,Quy trình,,,可以按照流程做。,kěyǐ ànzhào liúchéng zuò.,Có thể làm theo quy trình.
173,误差,wùchā,Sai số,,,量误差。,liàng wùchā.,Đo sai số.
174,工时,gōngshí,Giờ làm việc (Công thời),,,量工时。,liàng gōngshí.,Đo giờ làm.
175,温度,wēndù,Nhiệt độ,,,注意温度不能调整太高。,zhùyì wēndù bù néng tiáozhěng tài gāo.,Chú ý nhiệt độ không được điều chỉnh cao quá.
176,湿度,shīdù,Độ ẩm,,,车间湿度太高了。,chējiān shīdù tài gāo le.,Độ ẩm xưởng quá cao rồi.
177,高度,gāodù,Độ cao,,,调整机器的高度。,tiáozhěng jīqì de gāodù.,Điều chỉnh độ cao của máy.
178,长度,chángdù,Độ dài,,,这个长度不符合标准。,zhège chángdù bù fúhé biāozhǔn.,Độ dài này không đúng tiêu chuẩn.
179,宽度,kuāndù,Độ rộng,,,量一下宽度。,liàng yíxià kuāndù.,Đo độ rộng một chút.
180,厚度,hòudù,Độ dày,,,产品的厚度不够。,chǎnpǐn de hòudù bú gòu.,Độ dày sản phẩm không đủ.
181,深度,shēndù,Độ sâu,,,量深度。,liàng shēndù.,Đo độ sâu.
182,凹度,āodù,Độ lõm,,,测试屏幕的凹度。,cèshì píngmù de āodù.,Test độ lõm của màn hình.
183,凸度,tūdù,Độ lồi,,,凸度有误差。,tūdù yǒu wùchā.,Độ lồi có sai số.
184,压力,yālì,Áp lực / Lực ép,,,机器的压力太大。,jīqì de yālì tài dà.,Lực ép của máy lớn quá.
185,异常,yìcháng,Bất thường,,,测到异常了。,cè dào yìcháng le.,Test ra bất thường rồi.
186,事故,shìgù,Sự cố,,,机台发生事故了。,jītái fāshēng shìgù le.,Máy móc xảy ra sự cố rồi.
187,问题,wèntí,Vấn đề,,,这个机器有什么问题？,zhè ge jīqì yǒu shénme wèntí?,Cái máy này có vấn đề gì?
188,操作,cāozuò,Thao tác,,,你要按照SOP操作。,nǐ yào ànzhào SOP cāozuò.,Bạn phải thao tác theo SOP.
189,运行,yùnxíng,Vận hành,,,他正在运行机器。,tā zhèngzài yùnxíng jīqì.,Anh ấy đang vận hành máy.
190,安装,ānzhuāng,Lắp ráp,,,安装产品。,ānzhuāng chǎnpǐn.,Lắp ráp sản phẩm.
191,装,zhuāng,Lắp,,,零件装上了。,língjiàn zhuāng shàng le.,Linh kiện đã được lắp lên rồi.
192,拆,chāi,Tháo,,,请先拆机台。,qǐng xiān chāi jītái.,Vui lòng tháo máy trước.
193,开,kāi,"Mở (máy, đèn, cửa)",,,我刚开机器。,wǒ gāng kāi jīqì.,Tôi vừa mới mở máy.
194,关,guān,Tắt / Đóng,,,下班前要关机器。,xiàbān qián yào guān jīqì.,Trước khi tan ca phải tắt máy.
195,停,tíng,Dừng,,,有问题可以停机。,yǒu wèntí kěyǐ tíngjī.,Có vấn đề thì được phép dừng máy.
196,暂停,zàntíng,Tạm dừng,,,所以暂停生产。,suǒyǐ zàntíng shēngchǎn.,Nên phải tạm dừng sản xuất.
197,生产,shēngchǎn,Sản xuất,,,所以暂停生产。,suǒyǐ zàntíng shēngchǎn.,Nên phải tạm dừng sản xuất.
198,测试,cèshì,Test / Kiểm tra thử,,,她测试屏幕测了三分钟。,tā cèshì píngmù cè le sān fēnzhōng.,Cô ấy test màn hình 3 phút.
199,检查,jiǎnchá,Kiểm tra,,,我去工厂检查。,wǒ qù gōngchǎng jiǎnchá.,Tôi đi nhà xưởng kiểm tra.
200,测量,cèliáng,Đo lường,,,他正在测量参数。,tā zhèngzài cèliáng cānshù.,Anh ấy đang đo lường thông số.
201,贴,tiē,Dán,,,贴标签。,tiē biāoqiān.,Dán tem.
202,锁,suǒ,"Khóa, siết",,,请锁紧螺丝。,qǐng suǒ jǐn luósī.,Hãy vặn chặt con ốc.
203,拧,níng,"Vặn, vít",,,拧螺丝时要小心。,nǐng luósī shí yào xiǎoxīn.,Khi vặn ốc vít phải cẩn thận.
204,插,chā,Cắm,,,接口插上了。,jiēkǒu chā shàng le.,Cổng đã được cắm vào rồi.
